stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction,me_no_perm
69,J,Jurassic,Upper Jurassic,Tithonian,Tit,149.24,146.17,143.1,6.14,#00b0e2,#bbe4fa,#e0f2fc,458,238,171,37,27,123,49,102,152,1094,739,707.051494633279,1397,1246,0.143879742304939,0.108088761632069,0.130097716365472,0.0891419515286506,0.985205627611525,0.330607117168815,0.383995942377266,0.150739549336427,0.402439387191627,0.157185583522412,0.331313131313131,0.12,0.402439387191627,0.127833371509885,0.822115384615385,0.39853747714808,Non-Carnivore,FALSE,FALSE,FALSE
70,K,Cretaceous,Lower Cretaceous,Berriasian,Ber,143.1,140.4,137.7,5.4,#95c562,#9fca70,#9ec979,238,216,148,122,54,42,36,55,48,1148,413,592.640711572978,1287,1196,0.0652680652680653,0.0707070707070707,0.0409613576310653,0.0467971390951672,0.47505839990736,0.37806613392005,0.254817608251111,0.182191610721392,0.143100843640673,0.0423023796906894,0.0444444444444444,0.0414201183431953,0.0454623740767572,0.0423023796906894,0.548148148148148,0.238675958188153,Non-Carnivore,FALSE,FALSE,FALSE
71,K,Cretaceous,Lower Cretaceous,Valanginian,Val,137.7,135.15,132.6,5.1,#95c562,#9fca70,#a8d182,216,297,138,34,90,41,34,101,67,1136,565,553.907429105467,1338,1203,0.0754857997010463,0.100896860986547,0.0573051166935823,0.0851757731113912,0.44802472252696,0.766478453645495,0.178691788743376,0.165268768411235,0.160168752152821,0.233773871615966,0.14,0.208459214501511,0.150822889734584,0.233773871615966,0.802325581395349,0.319542253521127,Non-Carnivore,FALSE,FALSE,FALSE
72,K,Cretaceous,Lower Cretaceous,Hauterivian,Hau,132.6,129.55,126.5,6.1,#95c562,#9fca70,#b7d690,297,247,165,51,32,113,33,88,60,1177,527,542.649995625164,1358,1237,0.0684830633284242,0.0891016200294551,0.0497202651322112,0.0721032939013439,0.587786664902119,0.403442862727397,0.14874526126035,0.183202071071148,0.0561447290091025,0.183664740340422,0.0545977011494253,0.134228187919463,0.0561447290091025,0.144133901583787,0.763888888888889,0.293967714528462,Non-Carnivore,FALSE,FALSE,FALSE
73,K,Cretaceous,Lower Cretaceous,Barremian,Bar,126.5,123.95,121.4,5.1,#95c562,#9fca70,#c2da9c,247,346,205,113,89,51,54,103,52,1213,560,683.283081762483,1422,1265,0.0745428973277075,0.110407876230661,0.0419754922175705,0.0815002029412124,0.186378357489569,0.523428795919316,0.00879133777772637,0.254095862135732,-0.0246926125903715,0.12023702461795,-0.025,0.113289760348584,-0.0246926125903714,0.12023702461795,0.644654088050314,0.289365210222589,Non-Carnivore,FALSE,FALSE,FALSE
74,K,Cretaceous,Lower Cretaceous,Aptian,Apt,121.4,117.3,113.2,8.2,#95c562,#9fca70,#cfe1a7,346,554,247,48,110,36,117,234,125,1191,1011,949.763772585755,1667,1316,0.145170965806839,0.210557888422316,0.0998035425299623,0.179378523347451,0.337050438429747,0.807776350119307,0.126414156467931,0.368734946477538,0.174232533920871,0.396370378202282,0.126903553299492,0.327242524916944,0.135709251924536,0.396370378202282,0.83728813559322,0.449202350965575,Non-Carnivore,FALSE,FALSE,FALSE
75,K,Cretaceous,Lower Cretaceous,Albian,Alb,113.2,106.85,100.5,12.7,#95c562,#9fca70,#d9e8b1,554,550,354,83,35,60,127,223,169,1256,1107,1074.89285859937,1775,1425,0.166760563380282,0.197183098591549,0.126239745674607,0.163434115682656,0.447867773613509,0.440621365092742,0.263891956723528,0.2630343453809,0.248179629475535,0.293491436558621,0.196232339089482,0.180094786729858,0.218445030532656,0.198566538978288,0.810068649885583,0.468152866242038,Non-Carnivore,FALSE,FALSE,FALSE
76,K,Cretaceous,Upper Cretaceous,Cenomanian,Cen,100.5,97.2,93.9,6.6,#95c562,#b9d25d,#c6d86c,550,471,302,61,68,40,160,228,171,1308,1123,1061.74156648968,1867,1479,0.177289769683985,0.207820032137118,0.122866930693656,0.160682381690473,0.599491260851647,0.444431076641548,0.336200641524025,0.233794794679732,0.416160397224912,0.210535399237897,0.27823240589198,0.18796992481203,0.326052083724749,0.208217901097534,0.831955922865014,0.431192660550459,Non-Carnivore,FALSE,FALSE,FALSE
77,K,Cretaceous,Upper Cretaceous,Turonian,Tur,93.9,91.645,89.39,4.51,#95c562,#b9d25d,#d2dd77,471,217,166,50,23,188,71,112,96,1440,782,800.371835754954,1719,1536,0.0971495055264689,0.106457242582897,0.0645385211375712,0.0749013081731177,1.04287030565987,0.267909565183916,0.328216919878966,0.0839337482939352,0.254335163792217,0.110785106468739,0.224568138195777,0.0674157303370786,0.254335163792217,0.0697957619355419,0.768518518518518,0.349305555555556,Non-Carnivore,FALSE,FALSE,FALSE
78,K,Cretaceous,Upper Cretaceous,Coniacian,Con,89.39,87.545,85.7,3.69,#95c562,#b9d25d,#dce383,217,214,161,168,87,180,18,42,24,1528,350,562.571138636649,1612,1552,0.0260545905707196,0.0372208436724566,0.0155847310166982,0.0271159286158879,0.298492988555997,0.284571650037389,-0.0481874246577402,0.0212810307097667,-0.279204682262739,-0.0852646516546881,-0.0701298701298701,-0.0366492146596859,-0.0677800150617421,-0.0359936026479055,0.48936170212766,0.174083769633508,Non-Carnivore,FALSE,FALSE,FALSE
79,K,Cretaceous,Upper Cretaceous,Santonian,San,85.7,84.675,83.65,2.05,#95c562,#b9d25d,#e5e88f,214,443,181,75,265,20,50,118,72,1498,704,783.201357020935,1738,1570,0.0701956271576525,0.096662830840046,0.0469447342651889,0.0758230750038758,0.167478983756026,0.89507273877931,-0.0664003827027788,0.180419352998401,0.0460258223952821,-0.00577479949388391,0,0,0,0,0.70703125,0.309746328437917,Non-Carnivore,FALSE,FALSE,FALSE
80,K,Cretaceous,Upper Cretaceous,Campanian,Cam,83.65,77.91,72.17,11.48,#95c562,#b9d25d,#efec9b,443,705,315,83,58,42,153,206,205,1411,1228,1220.42267137205,1975,1616,0.18126582278481,0.181772151898734,0.135655287228227,0.136273907724293,0.340997131219503,0.805625163986636,0.188234376667092,0.458944750772899,0.178526485825403,0.547005280343493,0.108365019011407,0.341370558375635,0.114698444291431,0.417594206691991,0.791457286432161,0.470588235294118,Non-Carnivore,FALSE,FALSE,FALSE
81,K,Cretaceous,Upper Cretaceous,Maastrichtian,Maa,72.17,69.105,66.04,6.13,#95c562,#b9d25d,#f5f1a7,705,522,309,51,54,71,225,208,405,1212,1446,1325.10928170291,2050,1617,0.307317073170732,0.211219512195122,0.288300692947847,0.158384983966047,0.824856525914523,0.524326310984893,0.528025258809154,0.290446944526089,0.561933286075785,0.325019742889425,0.415343915343915,0.261780104712042,0.536731494101835,0.303513537668462,0.858333333333333,0.501650165016502,Non-Carnivore,TRUE,TRUE,TRUE
82,Pg,Paleogene,Paleocene,Danian,Dan,66.04,63.85,61.66,4.38,#f8ac70,#f8b77d,#fbc27f,522,439,272,94,40,117,111,266,143,1277,1065,1127.20049503199,1797,1420,0.141346688925988,0.209794101279911,0.106143294562767,0.189214996330622,0.651865521586641,0.478697346779174,0.300467634748753,0.325934592226764,0.243230309880947,0.272168264564112,0.215909090909091,0.195121951219512,0.243230309880947,0.217064505237828,0.743169398907104,0.426781519185591,Non-Carnivore,FALSE,FALSE,FALSE
83,Pg,Paleogene,Paleocene,Selandian-Thanetian,Se-Th,61.66,58.83,56,5.66,#f8ac70,#f8b77d,#fccb87,439,449,285,120,109,104,74,162,99,1444,838,936.68499569424,1779,1543,0.0972456436200112,0.13265879707701,0.0663115329103893,0.106329575053935,0.432010232806521,0.454533707473604,0.176949078524006,0.157702440368235,0.0937014566045763,0.101657168671166,0.0876565295169946,0.0913884007029877,0.0917387474367278,0.0958375596179018,0.703703703703704,0.348337950138504,Non-Carnivore,FALSE,FALSE,FALSE
84,Pg,Paleogene,Eocene,Ypresian,Ypr,56,52.035,48.07,7.93,#f8ac70,#fac18a,#f7ba8e,449,522,296,86,119,91,252,285,84,1522,1229,1247.56423633691,2143,1606,0.156789547363509,0.250583294447037,0.0537213560850758,0.171642752170597,0.416663433418194,0.567308133558578,0.122902314890031,0.21591024672069,0.123171358404074,0.193568780881302,0.114018691588785,0.175986842105263,0.12105942520093,0.193568780881302,0.774869109947644,0.399474375821288,Non-Carnivore,FALSE,FALSE,FALSE
85,Pg,Paleogene,Eocene,Lutetian,Lut,48.07,44.55,41.03,7.04,#f8ac70,#fac18a,#f9c39f,522,576,369,126,85,200,95,215,99,1708,1079,1138.51736543111,2117,1807,0.0916391119508739,0.146433632498819,0.0563449162437133,0.118563371240265,0.346870943842111,0.445311016655364,0.0124271054822913,0.190249862372849,-0.0700211492125174,0.190905300485346,0,0.123931623931624,0,0.132311136219293,0.745454545454545,0.392271662763466,Non-Carnivore,FALSE,FALSE,FALSE
86,Pg,Paleogene,Eocene,Bartonian,Brt,41.03,39.37,37.71,3.32,#f8ac70,#fac18a,#fcceac,576,679,423,168,208,79,96,180,111,1812,1121,1231.94723684121,2199,1923,0.0941336971350614,0.125511596180082,0.0594552589858551,0.0947079515416189,0.308735481649613,0.473248948512418,0.116760493155016,0.179487829984255,0.10476332244808,0.0583397488857798,0.0255376344086022,0.0566706021251476,0.0258693799784171,0.0583397488857798,0.715736040609137,0.405077262693157,Non-Carnivore,FALSE,FALSE,FALSE
87,Pg,Paleogene,Eocene,Priabonian,Prb,37.71,35.805,33.9,3.81,#f8ac70,#fac18a,#fcd7ba,679,639,378,80,113,125,150,251,250,1742,1549,1476.26552418636,2393,1992,0.167154199749269,0.167572085248642,0.134105280732095,0.134607162800347,0.585726931939108,0.525010258757947,0.218002151813791,0.190566420398127,0.263814591045137,0.230472148065036,0.227931488801054,0.204450625869263,0.258681987818617,0.228722366341249,0.825327510917031,0.515499425947187,Non-Carnivore,FALSE,FALSE,FALSE
88,Pg,Paleogene,Oligocene,Rupelian,Rup,33.9,30.595,27.29,6.61,#f8ac70,#fdcb98,#fedfb3,639,558,396,176,77,280,76,167,124,1869,1104,1254.32274623035,2236,1993,0.0894454382826476,0.108676207513417,0.0642375127572319,0.0855835702148506,0.478490243123054,0.34294475112683,0.0931825924398701,0.150969762632233,-0.044398413588453,0.123076311910426,0,0.0463215258855586,0,0.0474286935711108,0.692307692307692,0.394328517924024,Non-Carnivore,FALSE,FALSE,FALSE
89,Pg,Paleogene,Oligocene,Chattian,Cht,27.29,25.165,23.04,4.25,#f8ac70,#fdcb98,#ffeac3,558,754,451,212,280,107,82,168,85,1951,1117,1291.60447588398,2286,2036,0.0730533683289589,0.109361329833771,0.0426450370473021,0.0826022176451878,0.212891622878633,0.513925028505278,0.0508900685756356,0.14620024837996,0,0.0240975515790605,0,0.0238095238095238,0,0.0240975515790605,0.680241327300151,0.400820092260379,Non-Carnivore,FALSE,FALSE,FALSE
90,Ng,Neogene,Miocene,Lower Miocene,Lmi,23.04,19.515,15.99,7.05,#fede1a,#ffed02,#fff14a,754,1100,580,102,208,104,194,323,195,1924,1818,1681.47200723507,2636,2119,0.147572078907436,0.196130500758725,0.0965379270426473,0.155189640959677,0.262364264467491,0.640037355245997,0.0528396006880853,0.254729704562813,0.0853135837125355,0.300520652368967,0.0735981308411215,0.259567387687188,0.0764471545068941,0.300520652368967,0.850439882697947,0.574844074844075,Non-Carnivore,FALSE,FALSE,FALSE
91,Ng,Neogene,Miocene,Middle Miocene,Mmi,15.99,13.81,11.63,4.36,#fede1a,#ffed02,#fef26b,1100,1103,828,193,95,205,196,202,254,1993,1862,1805.98635056469,2645,2247,0.170132325141777,0.15047258979206,0.119954951972534,0.0965410052964771,0.284052304401202,0.286775864868243,0.037305320922514,0.124774310565246,0.0532082622757008,0.149531733970964,0.0518174787316319,0.0702160493827161,0.0532082622757008,0.0728030309874646,0.810969637610186,0.607124937280482,Non-Carnivore,FALSE,FALSE,FALSE
92,Ng,Neogene,Miocene,Upper Miocene,Umi,11.63,8.48,5.33,6.3,#fede1a,#ffed02,#fef488,1103,1128,829,232,199,142,233,165,362,1833,1881,1893.60342568652,2593,2195,0.22946394138064,0.153490165831084,0.180228077669567,0.0861927113687938,0.285568864118207,0.307981276922709,0.124225713709445,0.0984566131433035,0.104112854859671,0.076372978784574,0.0621722846441948,0.0536764705882353,0.0641890191743061,0.0551707711339711,0.7813383600377,0.611565739225314,Non-Carnivore,FALSE,FALSE,FALSE
93,Ng,Neogene,Pliocene,Pliocene,Pli,5.33,3.96,2.59,2.74,#fede1a,#fff7b2,#fff7b2,1128,1190,851,149,183,13,205,139,525,1473,1943,1795.90195082726,2342,1998,0.311699402220324,0.146883005977797,0.304845542745869,0.0901745066039433,0.28178930348463,0.335296457532201,0.209995611465887,0.0885494740535127,0.231597351783856,0.123869481712786,0.122161315583399,0.111277072442121,0.130292432960379,0.117969759585597,0.851,0.729124236252546,Non-Carnivore,FALSE,FALSE,FALSE
94,,Quarternary,Pleistocene,Pleistocene,Ple,2.59,1.30085,0.0117,2.5783,#fff69b,#fff2c5,#fff2c5,1190,396,309,23,41,NA,257,31,1186,426,1839,1554.17785024809,1900,1612,0.759473684210526,0.151578947368421,1.3307915767972,0.0702440446248342,1.34836730920783,0.248072934356735,NA,0.0867297839479722,NA,0.116292500278322,NA,0.0859188544152745,NA,0.0898359307414918,0.930722891566265,0.856807511737089,Non-Carnivore,FALSE,FALSE,FALSE
95,,Quarternary,Holocene,Holocene,Hol,0.0117,0.00585,0,0.0117,#fff69b,#fff5eb,#fff5eb,396,NA,NA,NA,NA,NA,50,NA,457,NA,507,NA,507,457,1,0.0986193293885602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-Carnivore,FALSE,FALSE,FALSE
